################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         29   0.0000000000000000E+00   2.5189411520106148E+01   6.7912598155570469E-01   1.2360171992959823E+00
         1         30   0.0000000000000000E+00   5.6597608012361933E+00   6.3726580737917471E-01   9.7608527090961317E-01
         1         31   0.0000000000000000E+00   5.1189104200633357E+00   6.8635290577791064E-01   8.0252307454007610E-01
         1         32   0.0000000000000000E+00   2.3212047827620353E+01   6.2341383269533990E-01   1.1345734358770658E+00
         1         33   0.0000000000000000E+00   5.1697699824839312E+00   4.9357281514189449E-01   7.2832807857885851E-01
         1         34   0.0000000000000000E+00   3.8575075614005221E+00   4.7873724171145293E-01   5.3588538349014914E-01
         1         35   0.0000000000000000E+00   7.6668839359384631E+00   1.9429609948019499E-01   3.7459077835329235E-01
         1         36   0.0000000000000000E+00   2.0573501227697473E+00   2.0408023082395724E-01   3.2586438220143910E-01
         1         37   0.0000000000000000E+00   1.5019927477258708E+00   1.7263779697181542E-01   2.1031959281615603E-01
         1         38   0.0000000000000000E+00   5.6670145593554873E+00   1.4230915705821842E-01   2.6502166103657959E-01
         1         39   0.0000000000000000E+00   1.5175804800601627E+00   9.6493779125651408E-02   1.4030661297207572E-01
         1         40   0.0000000000000000E+00   4.1874553892652605E-01   3.5032845580574269E-02   3.9666446572754893E-02
         1         41   0.0000000000000000E+00   4.9849528957020990E+00   8.0378403847875451E-02   1.8489573644997823E-01
         1         42   0.0000000000000000E+00   9.8986186623985040E-01   6.1737130671122090E-02   1.0809930991198076E-01
         1         43   0.0000000000000000E+00   8.6471180389069657E-01   7.8361033662705346E-02   1.0245577721286440E-01
         1         44   0.0000000000000000E+00   4.6578553740635877E+00   6.0874418346592241E-02   1.5019561977839122E-01
         1         45   0.0000000000000000E+00   9.7575105465369016E-01   4.5488501293399812E-02   7.9134076375433682E-02
         1         46   0.0000000000000000E+00   5.2597588541037743E-01   4.7317459699288231E-02   5.7039089522779987E-02
         1         47   0.0000000000000000E+00   1.6311504790083611E+00   2.6332210686868345E-02   7.0415613300727653E-02
